"Subject_ID","Participant","Date","Time","Experiment_Duration","Screen_Resolution","Screen_Size","Browser","Browser_Version","Device","Device_OS"
"sub-49","wh9d6b","17/03/2023","14:42:54",17.99125,"1366x600",0.8196,"chrome","111.0.0","Desktop","Windows 10"
"sub-50","hl1zpr","17/03/2023","17:45:19",17.4927833333333,"1034x563",0.582142,"chrome","111.0.0","Desktop","Windows 10"
"sub-51","u20r5h","20/03/2023","10:11:49",19.5027166666667,"1366x600",0.8196,"chrome","111.0.0","Desktop","Windows 10"
"sub-52","s97b2r","20/03/2023","17:38:43",17.1570666666667,"1366x600",0.8196,"chrome","111.0.0","Desktop","Windows 10"
"sub-53","9pyfsz","21/03/2023","10:43:58",20.9191166666667,"1366x600",0.8196,"chrome","111.0.0","Desktop","Windows 10"
"sub-54","277bd4","21/03/2023","18:06:44",18.1756166666667,"1366x600",0.8196,"chrome","111.0.0","Desktop","Windows 10"
"sub-55","2x5zxf","22/03/2023","14:40:23",16.20765,"1366x600",0.8196,"chrome","111.0.0","Desktop","Windows 10"
"sub-56","vz5tyl","22/03/2023","18:03:57",18.1911333333333,"1366x600",0.8196,"chrome","111.0.0","Desktop","Windows 10"
"sub-57","a9smvc","23/03/2023","14:14:54",16.7242666666667,"1024x600",0.6144,"chrome","111.0.0","Desktop","Windows 10"
"sub-58","ufvy5m","24/03/2023","16:20:08",17.7779166666667,"1366x600",0.8196,"chrome","111.0.0","Desktop","Windows 10"
"sub-59","d401oh","27/03/2023","10:55:01",18.8371166666667,"1366x600",0.8196,"chrome","111.0.0","Desktop","Windows 10"
"sub-60","fcdggm","27/03/2023","14:23:41",17.7889166666667,"1366x600",0.8196,"chrome","111.0.0","Desktop","Windows 10"
"sub-61","f7ytem","27/03/2023","18:01:37",17.1753833333333,"1366x600",0.8196,"chrome","111.0.0","Desktop","Windows 10"
"sub-62","ml0koy","28/03/2023","10:38:40",18.2187833333333,"1366x600",0.8196,"chrome","111.0.0","Desktop","Windows 10"
"sub-63","wlqrrh","28/03/2023","14:59:46",19.0581166666667,"1366x600",0.8196,"chrome","111.0.0","Desktop","Windows 10"
"sub-64","tgnvl6","28/03/2023","18:11:53",16.8742833333333,"1366x600",0.8196,"chrome","111.0.0","Desktop","Windows 10"
"sub-65","exq7hc","30/03/2023","18:23:23",18.04025,"1366x600",0.8196,"chrome","111.0.0","Desktop","Windows 10"
"sub-66","73hzod","07/04/2023","15:18:58",18.4770666666667,"1366x600",0.8196,"chrome","112.0.0","Desktop","Windows 10"
"sub-110","qh07hl","22/12/2022","10:45:07",26.7722666666667,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-111","ld8429","21/12/2022","14:38:51",30.0094166666667,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
